cc_num,first,last,gender,street,city,state,zip,lat,long,job,dob
3526015186182660,Timofey,Ivanov,M,3 Kolorev Street,Zelenodolsk,Republic of Tatarstan,95233,38.1919,-120.3644,Data processing manager,1958-10-12T00:00:00.000+05:30
4170242670039985,Renata,Dushenina,F,1st Lyubertsy passage,Izhevsk,Republic of Udmurtia,59323,45.9344,-106.6368,Air broker,1983-08-09T00:00:00.000+05:30
4006862159277,Svetlana,Bakhmutova,F,1 Leskova street,Maykop,Republic of Adygea,11228,40.6174,-74.0121,Tourism officer,1957-07-24T00:00:00.000+05:30
3593533875650654,Kristina,Salkova,F,54 Lykovsky proezd,Melitopol,Zaporozhye region,60543,41.6849,-88.3453,Magazine features editor,1994-12-24T00:00:00.000+05:30
5421885738881170,Yaroslav,Shuvayev,M,2 Lev Yudin Street,Ufa,Republic of Bashkortostan,43035,40.1879,-82.9878,"Designer, industrial/product",1995-11-06T00:00:00.000+05:30
4048725581466255,Aleksandra,Dolgireva,F,5 Mazilovskaya street,Energodar,Zaporozhye region,60601,41.8858,-87.6181,Retail banker,1950-12-28T00:00:00.000+05:30
4092259246729,Varvara,Starostina,F,7 Lyaminsky proezd,Nizhny Novgorod,Nizhny Novgorod Region,52650,40.9419,-91.185,"Conservation officer, nature",1960-11-02T00:00:00.000+05:30
5417459284978545,Zahar,Migunov,M,1st Magistralnaya Street,Adygeysk,Republic of Adygea,14487,42.8135,-77.6635,Landscape architect,1955-04-29T00:00:00.000+05:30
6011779269963768,Regina,Sinetova,F,1 Malaya Lubyanka,Moscow,Central Federal District,63833,36.6876,-89.7706,Personnel officer,1980-09-18T00:00:00.000+05:30
30405027360515,Lilia,Shkalina,F,23 Gorkovskoe highway street,Kazan,Republic of Tatarstan,95554,40.2841,-123.7945,"Designer, fashion/clothing",1948-01-14T00:00:00.000+05:30
6546851067101927,Anastasia,Elistratova,F,1 Marshal Sokolovsky Street,Berdyansk,Zaporozhye region,61607,40.6321,-89.6903,Event organiser,1929-05-23T00:00:00.000+05:53
4483018920250,Angelina,Rasshchepkina,F,4 Marshal Fedorenko Street,Velikiy Novgorod,Novgorod region,87418,36.9576,-108.1792,"Engineer, electronics",1989-08-09T00:00:00.000+05:30
379684560931689,Anzhela,Maganova,F,5 Lomonosovsky prospect,Murmansk,Murmansk region,68003,41.0541,-96.3904,"Editor, film/video",1942-06-18T00:00:00.000+05:30
4361646620879135,Anna,Ivanova,F,77 Lyusinovskaya street,Giaginskiy district,Republic of Adygea,12751,41.6838,-74.6724,Copy,1974-09-23T00:00:00.000+05:30
30021746099829,Alexander,Troshin,M,5 Clara Zetkin Street,Saratov,Saratov region,57025,42.7382,-96.687,Chiropractor,1953-07-29T00:00:00.000+05:30
5590294502817012,Antonina,Moryakova,F,35 Richard Sorge Street,Kirsanov,Tambov Region,78611,30.7766,-98.2642,Television camera operator,1951-06-18T00:00:00.000+05:30
676165681542,Roman,Petrov,M,46 Kurchatov street,Yaroslavl,Yaroslavskaya oblast,97302,44.9039,-123.0445,Human resources officer,1954-07-04T00:00:00.000+05:30
6011537727192499,Svyatoslav,Nikitin,M,5 Big Red Street,Vladivostok,Primorsky Krai,66043,39.2502,-94.8994,"Producer, radio",1972-06-21T00:00:00.000+05:30
30157941709315,Vladislav,Artamonov,M,7 Mislavskogo Street,Grozny,The Chechen Republic,55921,43.6221,-91.4837,Hydrographic surveyor,1974-11-04T00:00:00.000+05:30
180094108369013,Artem,Arkhipov,M,8 Meridian street,Vladikavkaz,Republic of North Ossetia - Alania,89448,39.0204,-119.9114,Geophysical data processor,1949-12-29T00:00:00.000+05:30
5132731018032805,Mikhail,Petrov,M,9 Volgogradskaya street,Valdai,Novgorod region,87823,34.156,-106.9044,Private music teacher,1949-03-25T00:00:00.000+05:30
349326734419590,Pavel,Basov,M,2 Daniyalov street,Ussuriysk,Primorsky Krai,66776,37.4527,-95.4671,Leisure centre manager,1982-05-03T00:00:00.000+05:30
5157436163845247,Viktoria,Trofimenko,F,23 Kondareva Street,Leninogorsk,Republic of Tatarstan,93311,35.3039,-119.1056,Archivist,1991-07-06T00:00:00.000+05:30
30170394853324,Svyatoslav,Stepanov,M,45 Komarova Street,Takhtamukaysky district,Republic of Adygea,13146,43.0934,-76.7565,"Scientist, physiological",1973-07-08T00:00:00.000+05:30
6011165671471311,Yuri,Dmitrov,M,41 Baturina street,Chistopol,Republic of Tatarstan,94109,37.7917,-122.4186,Arts development officer,1959-02-12T00:00:00.000+05:30
370763211656868,Petr,Pavlov,M,34 Cosmonauts Street,Energodar,Zaporozhye region,60603,41.8798,-87.6285,"Nurse, adult",1976-12-09T00:00:00.000+05:30
3561758568398109,Yulia,Gorbunkova,F,2 Belinsky Street,Petropavlovsk-Kamchatsky,Kamchatka Krai,7522,40.9252,-74.1781,Electronics engineer,1958-12-28T00:00:00.000+05:30
4037295225657274,Anton,Panin,M,4 Malaya Pokrovskaya street,Blagoveshchensk,Amur region,80758,40.0685,-102.393,Advertising account executive,1978-09-17T00:00:00.000+05:30
30300776786251,Yakov,Vidov,M,5 Titov Street,Kotovsk,Tambov Region,77961,28.8652,-96.3618,"Engineer, civil (contracting)",1973-08-14T00:00:00.000+05:30
675985166411,Darina,Krasina,F,6 Millionshchikov Street,Teuchezhsky district,Republic of Adygea,13660,44.769,-75.1413,Building surveyor,1975-12-19T00:00:00.000+05:30
5264302655249852,Timur,Bakunin,M,8 Embankment Academician Tupolev,Volgograd,Volgograd region,39746,33.8011,-88.4478,"Engineer, control and instrumentation",1924-06-21T00:00:00.000+05:53
374115112731710,Nikolay,Stolov,M,9 Alexander Solzhenitsyn Street,Mozdok,Republic of North Ossetia - Alania,89013,37.8344,-117.2694,Data scientist,1978-05-06T00:00:00.000+05:30
4361355512072,Leonid,Musin,M,34 Architect Ginzburg Street,Argun,The Chechen Republic,56550,47.2689,-96.7988,"Programme researcher, broadcasting/film/video",1987-07-14T00:00:00.000+05:30
4641003399120410,Diana,Petrovskaya,F,37 Aivazovsky street,Arzamas,Nizhny Novgorod Region,52229,42.1588,-92.1644,Human resources officer,1977-05-07T00:00:00.000+05:30
4354778868658084,Ekaterina,Gerasimova,F,1 Pushkin Street,Energodar,Zaporozhye region,60657,41.9399,-87.6528,Technical author,1983-08-09T00:00:00.000+05:30
5157595343543285,Ksenia,Vladislavova,F,4 Marina Tsvetaeva Street,Michurinsk,Tambov Region,78344,27.4295,-98.8385,Senior tax professional/tax inspector,1973-01-08T00:00:00.000+05:30
501892391613,Margarita,Pikos,F,77 Tolstoy Street,Kaliningrad,Kaliningrad region,82083,41.7461,-105.9746,"Engineer, structural",2002-10-27T00:00:00.000+05:30
4515092388857440,Dmitry,Senatov,M,34 Cooperative street,Salavat,Republic of Bashkortostan,43452,41.5583,-83.0502,"Psychologist, counselling",1939-04-29T00:00:00.000+05:53
342823590771707,Eduard,Dmitrenko,M,67 Suvorov Street,Magadan,Magadan Region,28277,35.0552,-80.8195,Building surveyor,1969-08-13T00:00:00.000+05:30
180036251237802,Olga,Kirienko,F,8 Pushkin Street,Oryol,Oryol Region,40371,38.104,-83.6316,"Psychologist, forensic",1956-07-20T00:00:00.000+05:30
4368593032190508,Ulyana,Koroleva,F,5 Pioneer street,Tomsk,Tomsk region,19475,40.1765,-75.5697,"Engineer, chemical",1961-05-21T00:00:00.000+05:30
341559343212109,Lev,Trofimov,M,56 Tsiolkovsky Street,Kherson,Kherson region,47809,39.471,-87.4111,Education administrator,1945-05-16T00:00:00.000+06:30
348933408404369,Snezhana,Viktorova,F,8 Korsakov Street,Crimea,Republic of Crimea,31021,32.4593,-82.9381,Purchasing manager,1940-11-25T00:00:00.000+05:53
4765125568595799,Filipp,Svetov,M,7 Lermontov Street,Luhansk,Luhansk People's Republic,22740,38.6203,-78.2466,Clinical biochemist,1942-02-11T00:00:00.000+06:30
676331132040,Moisey,Kulagin,M,8 Oktyabrskaya street,Donetsk,Donetsk People's Republic,5476,44.9715,-72.6905,Wellsite geologist,1966-07-07T00:00:00.000+05:30
38535403302699,Oleg,Romanov,M,3 Uritskogo Street,Sterlitamak,Republic of Bashkortostan,43140,39.9001,-83.4439,Insurance risk surveyor,1970-04-17T00:00:00.000+05:30
30260722249657,Olga,Martova,F,4 Kalinin street,Sevastopol,Sevastopol,48188,42.291,-83.465,"Teacher, special educational needs",1998-03-02T00:00:00.000+05:30
4738555317386146,Kirill,Solomatin,M,5 Pilot Ulyanin Street,Anadyr,Chukotka Autonomous Okrug,35633,34.8825,-87.7398,Osteopath,1982-03-17T00:00:00.000+05:30
4550801576257,Yevgenia,Kungurova,F,1 Marshal Rokossovsky Boulevard,Seversk,Tomsk region,16503,42.1265,-80.064,"Administrator, sports",1955-06-21T00:00:00.000+05:30
6011047554247853,Yakov,Nikolaev,M,35 Marshal Rybalko Street,Birobidzhan,Jewish Autonomous Region,32811,28.5163,-81.4516,"Accountant, chartered public finance",1940-05-18T00:00:00.000+05:53
